id,name,email,course,grade,gpa,enrollment_date,department,year
35,Mariano Fahey,marianofahey@university.edu,Biology,A-,1.9099999999999999200639422269887290894985198974609375,2024-04-12,Engineering,2
36,Ha Veum,haveum@university.edu,Physics,B,0.68000000000000004884981308350688777863979339599609375,2024-01-03,Science,3
37,Young Lockman,younglockman@university.edu,Chemistry,A-,1.6599999999999999200639422269887290894985198974609375,2022-12-15,Engineering,4
38,Ike Tillman PhD,iketillmanphd@university.edu,Chemistry,D,3.310000000000000053290705182007513940334320068359375,2026-06-26,Science,2
39,Ayako Dibbert,ayakodibbert@university.edu,English,A+,0,2025-09-22,Medicine,3
40,Denyse Kovacek IV,denysekovacekiv@university.edu,Mathematics,A-,0.89000000000000001332267629550187848508358001708984375,2023-07-09,Business,4
41,Carmelo Kilback,carmelokilback@university.edu,CS,F,3.439999999999999946709294817992486059665679931640625,2026-06-09,Medicine,2
42,Ms. Lauralee Mosciski,ms.lauraleemosciski@university.edu,Biology,B,0.770000000000000017763568394002504646778106689453125,2023-07-26,Medicine,3
43,Byron Morar MD,byronmorarmd@university.edu,Economics,B-,2.609999999999999875655021241982467472553253173828125,2026-06-01,Law,4
44,Hellen Zieme,hellenzieme@university.edu,English,F,0.05000000000000000277555756156289135105907917022705078125,2025-11-18,Engineering,4
45,Anderson Rutherford,andersonrutherford@university.edu,Biology,B-,2.660000000000000142108547152020037174224853515625,2025-08-17,Business,2
46,Geoffrey Hauck,geoffreyhauck@university.edu,English,A+,3.180000000000000159872115546022541821002960205078125,2023-05-25,Law,1
47,Ms. Signe Stokes,ms.signestokes@university.edu,Economics,C+,0.340000000000000024424906541753443889319896697998046875,2026-04-28,Arts,3
48,Georgann Fadel MD,georgannfadelmd@university.edu,Chemistry,C,1.4199999999999999289457264239899814128875732421875,2025-07-24,Business,2
49,Modesto Romaguera,modestoromaguera@university.edu,History,B,2.560000000000000053290705182007513940334320068359375,2024-04-06,Engineering,4
50,Miss Boyd Halvorson,missboydhalvorson@university.edu,History,A-,3.569999999999999840127884453977458178997039794921875,2025-08-26,Science,1
51,Hilton Mohr,hiltonmohr@university.edu,Physics,B,3.37000000000000010658141036401502788066864013671875,2023-04-30,Science,1
52,Wilson Johns IV,wilsonjohnsiv@university.edu,English,D,3.890000000000000124344978758017532527446746826171875,2024-11-26,Law,2
53,Loida Watsica,loidawatsica@university.edu,Mathematics,D,2.12999999999999989341858963598497211933135986328125,2024-03-15,Engineering,3
54,Yelena Wintheiser,yelenawintheiser@university.edu,CS,C,1.479999999999999982236431605997495353221893310546875,2023-09-20,Law,2
55,Dr. Rene Hilpert,dr.renehilpert@university.edu,English,D,1.9899999999999999911182158029987476766109466552734375,2024-12-23,Business,4
56,Laurice Mertz,lauricemertz@university.edu,Physics,B+,2.8300000000000000710542735760100185871124267578125,2025-12-15,Law,3
57,Mr. Morton Rice,mr.mortonrice@university.edu,Biology,A,1.6100000000000000976996261670137755572795867919921875,2026-04-18,Science,3
58,Rosette Stiedemann,rosettestiedemann@university.edu,Biology,C+,0.270000000000000017763568394002504646778106689453125,2026-06-05,Medicine,3
59,Andrea Kautzer,andreakautzer@university.edu,Physics,A+,1.12000000000000010658141036401502788066864013671875,2025-03-27,Engineering,4
60,Clair Zboncak MD,clairzboncakmd@university.edu,Chemistry,F,3.029999999999999804600747665972448885440826416015625,2026-05-05,Business,3
61,Johnetta Larkin,johnettalarkin@university.edu,Chemistry,C-,0.95999999999999996447286321199499070644378662109375,2024-06-21,Law,2
62,Bobbie Cartwright,bobbiecartwright@university.edu,Economics,A,3.75,2025-01-26,Arts,1
63,Ramon Lind,ramonlind@university.edu,Mathematics,B+,3.70000000000000017763568394002504646778106689453125,2025-05-15,Business,3
64,Ward Adams,wardadams@university.edu,CS,C+,1.2800000000000000266453525910037569701671600341796875,2024-05-02,Engineering,2
65,Tula Kihn,tulakihn@university.edu,Economics,F,1.939999999999999946709294817992486059665679931640625,2026-03-23,Engineering,4
66,Mr. Lisette Welch,mr.lisettewelch@university.edu,Chemistry,F,2.220000000000000195399252334027551114559173583984375,2025-10-19,Business,3
67,Rickie West MD,rickiewestmd@university.edu,History,A+,4,2026-01-29,Law,3
68,Weston Mueller,westonmueller@university.edu,Biology,C+,0.92000000000000003996802888650563545525074005126953125,2024-04-24,Engineering,4
69,Julie Osinski,julieosinski@university.edu,Mathematics,F,3.62999999999999989341858963598497211933135986328125,2025-07-31,Medicine,4
70,Miss Caleb Haley,misscalebhaley@university.edu,Biology,B-,1.1999999999999999555910790149937383830547332763671875,2026-05-05,Engineering,1
71,Dr. Zena Crist,dr.zenacrist@university.edu,Economics,B-,2.5800000000000000710542735760100185871124267578125,2024-05-18,Engineering,3
72,Cleora Wunsch,cleorawunsch@university.edu,History,F,2.4199999999999999289457264239899814128875732421875,2024-05-19,Arts,1
73,Francisco Barrows,franciscobarrows@university.edu,Mathematics,F,3.45999999999999996447286321199499070644378662109375,2024-02-14,Law,1
74,Amparo Wilkinson,amparowilkinson@university.edu,English,D,2.560000000000000053290705182007513940334320068359375,2024-10-18,Law,1
75,Dr. Jasmine Rolfson,dr.jasminerolfson@university.edu,Biology,A,3.0800000000000000710542735760100185871124267578125,2023-05-27,Business,2
76,Billy Kozey,billykozey@university.edu,English,D,0.5300000000000000266453525910037569701671600341796875,2023-04-28,Arts,4
77,Cordie Bradtke,cordiebradtke@university.edu,Mathematics,A+,3.70000000000000017763568394002504646778106689453125,2026-06-19,Medicine,2
78,Mr. Dick Graham,mr.dickgraham@university.edu,CS,B+,2.54000000000000003552713678800500929355621337890625,2023-02-19,Law,3
79,Ms. Coleman Russel,ms.colemanrussel@university.edu,English,D,0.450000000000000011102230246251565404236316680908203125,2023-11-19,Arts,3
80,Shala Wisoky,shalawisoky@university.edu,Physics,C-,3.729999999999999982236431605997495353221893310546875,2025-11-04,Science,1
81,Shawn Larson,shawnlarson@university.edu,Economics,C+,2.600000000000000088817841970012523233890533447265625,2026-04-18,Engineering,4
82,Tamika Sipes PhD,tamikasipesphd@university.edu,Biology,A+,3.87000000000000010658141036401502788066864013671875,2024-10-14,Arts,3
83,Carleen Brakus,carleenbrakus@university.edu,CS,B,1.5800000000000000710542735760100185871124267578125,2022-12-03,Business,2
84,Kary Stark,karystark@university.edu,History,B-,3.680000000000000159872115546022541821002960205078125,2023-09-04,Business,1
85,Tandra Jacobi,tandrajacobi@university.edu,Chemistry,C,1.020000000000000017763568394002504646778106689453125,2025-07-27,Science,4
86,Mrs. Letty Harris,mrs.lettyharris@university.edu,English,C,0.68000000000000004884981308350688777863979339599609375,2023-04-05,Engineering,1
87,Georgetta Jaskolski,georgettajaskolski@university.edu,Physics,C-,2.189999999999999946709294817992486059665679931640625,2025-05-25,Medicine,4
88,Kandy Gottlieb V,kandygottliebv@university.edu,Chemistry,F,1.439999999999999946709294817992486059665679931640625,2023-07-13,Arts,2
89,Marco Prohaska,marcoprohaska@university.edu,Physics,C,0.939999999999999946709294817992486059665679931640625,2025-04-20,Medicine,1
90,Mrs. Louann Turner,mrs.louannturner@university.edu,Economics,B,3.8300000000000000710542735760100185871124267578125,2026-02-06,Arts,2
91,Ruben Towne,rubentowne@university.edu,Economics,C,2.0099999999999997868371792719699442386627197265625,2024-04-21,Business,1
92,Rosalba Dicki,rosalbadicki@university.edu,Biology,C+,2.75,2024-04-18,Business,4
93,Colby Altenwerth,colbyaltenwerth@university.edu,History,B+,0.810000000000000053290705182007513940334320068359375,2025-11-19,Science,3
94,Mrs. Kip Mills,mrs.kipmills@university.edu,Chemistry,D,2.8300000000000000710542735760100185871124267578125,2023-10-15,Law,3
95,Adolfo Schaden,adolfoschaden@university.edu,Physics,C,3.6699999999999999289457264239899814128875732421875,2026-03-20,Law,1
96,Birdie Medhurst,birdiemedhurst@university.edu,CS,C-,2.87999999999999989341858963598497211933135986328125,2023-02-07,Medicine,3
97,Tiara Stark,tiarastark@university.edu,History,A-,1.0900000000000000799360577730112709105014801025390625,2025-03-11,Science,1
98,Luke Abshire,lukeabshire@university.edu,Chemistry,B-,0.729999999999999982236431605997495353221893310546875,2025-08-04,Engineering,3
99,Cecille Jerde,cecillejerde@university.edu,English,B+,0.54000000000000003552713678800500929355621337890625,2023-12-16,Arts,2
100,Bret Orn,bretorn@university.edu,English,A,1.229999999999999982236431605997495353221893310546875,2026-04-18,Medicine,1
101,Ms. Robin Sawayn,ms.robinsawayn@university.edu,Biology,A-,3.060000000000000053290705182007513940334320068359375,2024-01-24,Arts,4
102,Ms. Larita Hauck,ms.laritahauck@university.edu,Economics,C+,3.70999999999999996447286321199499070644378662109375,2025-04-20,Medicine,4
103,Melvin Renner,melvinrenner@university.edu,Biology,A-,3.29000000000000003552713678800500929355621337890625,2022-11-01,Science,2
104,Hollie Donnelly,holliedonnelly@university.edu,Biology,F,3.339999999999999857891452847979962825775146484375,2023-12-22,Arts,1
105,Pablo Paucek,pablopaucek@university.edu,Chemistry,C+,1.5900000000000000799360577730112709105014801025390625,2023-06-12,Medicine,1
106,Gale Feeney,galefeeney@university.edu,Physics,F,0.440000000000000002220446049250313080847263336181640625,2023-04-30,Science,4
107,Delphine Hodkiewicz,delphinehodkiewicz@university.edu,Mathematics,A,3.2400000000000002131628207280300557613372802734375,2025-02-13,Law,1
108,Carl Hickle,carlhickle@university.edu,Economics,C-,0.419999999999999984456877655247808434069156646728515625,2024-02-22,Science,1
109,Shane Thiel,shanethiel@university.edu,English,A,3.45999999999999996447286321199499070644378662109375,2024-06-24,Science,4
110,Helena Blick,helenablick@university.edu,CS,D,1.9299999999999999378275106209912337362766265869140625,2022-11-27,Medicine,4
111,Tamatha Wilderman IV,tamathawildermaniv@university.edu,Economics,C-,1.399999999999999911182158029987476766109466552734375,2026-08-03,Medicine,3
112,Dr. Darwin Schmitt,dr.darwinschmitt@university.edu,Biology,A,1.1399999999999999023003738329862244427204132080078125,2023-03-31,Engineering,1
113,Nicole Smitham,nicolesmitham@university.edu,Chemistry,C-,2.25,2025-10-19,Law,4
114,Miss Shanelle Dicki,missshanelledicki@university.edu,CS,D,0.86999999999999999555910790149937383830547332763671875,2026-07-22,Engineering,3
115,Franklyn Fay,franklynfay@university.edu,Mathematics,B-,3.850000000000000088817841970012523233890533447265625,2024-08-13,Science,3
116,Brandon Schuster,brandonschuster@university.edu,History,C+,2.430000000000000159872115546022541821002960205078125,2026-06-02,Law,1
117,Mrs. Harrison Zieme,mrs.harrisonzieme@university.edu,History,C,0.689999999999999946709294817992486059665679931640625,2026-06-08,Arts,2
118,Dawna Hettinger,dawnahettinger@university.edu,History,A,1.770000000000000017763568394002504646778106689453125,2025-01-15,Science,4
119,Athena Hauck Jr.,athenahauckjr.@university.edu,English,C+,3.779999999999999804600747665972448885440826416015625,2026-08-10,Arts,3
120,Mr. Chara Brown,mr.charabrown@university.edu,Chemistry,B-,2.04000000000000003552713678800500929355621337890625,2025-04-29,Law,4
121,Dr. Greg Marvin,dr.gregmarvin@university.edu,Physics,C,0.070000000000000006661338147750939242541790008544921875,2026-06-21,Science,1
122,Brittaney Ullrich,brittaneyullrich@university.edu,Economics,C-,1.62999999999999989341858963598497211933135986328125,2025-04-27,Law,1
123,Cierra Hermann,cierrahermann@university.edu,Biology,B+,1.29000000000000003552713678800500929355621337890625,2024-02-02,Law,1
124,Dave Ondricka,daveondricka@university.edu,English,D,3.87999999999999989341858963598497211933135986328125,2025-12-06,Business,3
125,Mr. Sophie Bauch,mr.sophiebauch@university.edu,Physics,D,3.12000000000000010658141036401502788066864013671875,2026-03-16,Law,3
126,Alonso Heathcote,alonsoheathcote@university.edu,Biology,C+,3.680000000000000159872115546022541821002960205078125,2024-10-01,Medicine,3
127,Dong Christiansen,dongchristiansen@university.edu,Mathematics,A+,0.810000000000000053290705182007513940334320068359375,2025-12-12,Science,3
128,Nubia Deckow I,nubiadeckowi@university.edu,Chemistry,A,0.5100000000000000088817841970012523233890533447265625,2025-08-20,Medicine,3
129,Georgene Maggio,georgenemaggio@university.edu,Economics,D,1.9099999999999999200639422269887290894985198974609375,2026-02-26,Arts,1
130,Dr. Shon Mills,dr.shonmills@university.edu,English,C,3.779999999999999804600747665972448885440826416015625,2026-02-05,Law,3
131,Trevor Reilly,trevorreilly@university.edu,Economics,D,1.4299999999999999378275106209912337362766265869140625,2023-04-20,Medicine,4
132,Linnie Lind Sr.,linnielindsr.@university.edu,Chemistry,B+,3.7400000000000002131628207280300557613372802734375,2025-04-18,Business,3
133,Tracy West,tracywest@university.edu,Chemistry,B+,3.060000000000000053290705182007513940334320068359375,2025-09-27,Law,4
134,Miss Carter Batz,misscarterbatz@university.edu,Mathematics,B+,0.56999999999999995115018691649311222136020660400390625,2026-01-25,Science,2
135,Fabian Cartwright,fabiancartwright@university.edu,CS,B+,1.9099999999999999200639422269887290894985198974609375,2025-05-02,Arts,4
136,Takisha Ebert,takishaebert@university.edu,Mathematics,C,1.729999999999999982236431605997495353221893310546875,2024-02-20,Science,1
137,Cleta Connelly PhD,cletaconnellyphd@university.edu,History,B+,3.9199999999999999289457264239899814128875732421875,2025-10-31,Science,4
138,Valentine O'Hara,valentineohara@university.edu,Physics,B+,1.020000000000000017763568394002504646778106689453125,2023-03-04,Science,4
139,Bao Rempel,baorempel@university.edu,History,C+,1.649999999999999911182158029987476766109466552734375,2022-12-01,Arts,3
140,Karrie Kautzer,karriekautzer@university.edu,Mathematics,B+,3.25,2023-09-28,Arts,4
141,Dr. Janella Mayert,dr.janellamayert@university.edu,CS,C,1.9499999999999999555910790149937383830547332763671875,2024-10-05,Science,4
142,Starla Cruickshank,starlacruickshank@university.edu,Economics,B,3.850000000000000088817841970012523233890533447265625,2024-12-15,Law,2
143,Mrs. Amado Ziemann,mrs.amadoziemann@university.edu,Mathematics,B+,0.1499999999999999944488848768742172978818416595458984375,2023-12-31,Arts,2
144,Angie Hermiston,angiehermiston@university.edu,Chemistry,B+,3.589999999999999857891452847979962825775146484375,2023-06-13,Medicine,1
145,Quinton Rogahn,quintonrogahn@university.edu,Mathematics,A+,2.2400000000000002131628207280300557613372802734375,2023-06-21,Business,4
146,Idalia Ziemann,idaliaziemann@university.edu,Biology,C+,0.92000000000000003996802888650563545525074005126953125,2024-02-08,Business,2
147,Ruthie Runolfsson,ruthierunolfsson@university.edu,History,B+,2.95999999999999996447286321199499070644378662109375,2025-05-30,Law,2
148,Ms. Maxwell Dietrich,ms.maxwelldietrich@university.edu,Economics,A,1.0100000000000000088817841970012523233890533447265625,2023-08-02,Medicine,4
149,Ralph Rempel,ralphrempel@university.edu,Chemistry,A+,1.100000000000000088817841970012523233890533447265625,2025-12-21,Business,1
150,Rogelio Friesen PhD,rogeliofriesenphd@university.edu,Chemistry,C,3.6699999999999999289457264239899814128875732421875,2025-04-13,Science,1
151,Tenesha Rowe I,tenesharowei@university.edu,History,C-,3,2023-11-25,Medicine,1
152,Lael Marks MD,laelmarksmd@university.edu,Biology,F,0.75,2026-08-07,Engineering,1
153,Virgil Sporer,virgilsporer@university.edu,Physics,C-,3.9199999999999999289457264239899814128875732421875,2022-10-26,Arts,2
154,Elna Doyle,elnadoyle@university.edu,Physics,B,2.910000000000000142108547152020037174224853515625,2025-09-17,Law,1
155,Dion Conroy,dionconroy@university.edu,History,A-,2.95999999999999996447286321199499070644378662109375,2024-01-05,Engineering,1
156,Lorrine Spencer,lorrinespencer@university.edu,History,C-,1.9299999999999999378275106209912337362766265869140625,2024-03-17,Law,1
157,Kathy Sporer,kathysporer@university.edu,Physics,F,2.609999999999999875655021241982467472553253173828125,2023-05-26,Science,1
158,Merrill O'Kon,merrillokon@university.edu,Biology,F,3.2599999999999997868371792719699442386627197265625,2025-10-21,Engineering,3
159,Julius Yundt,juliusyundt@university.edu,Physics,C,2.069999999999999840127884453977458178997039794921875,2024-11-20,Engineering,4
160,Marine Denesik,marinedenesik@university.edu,Mathematics,B-,2.850000000000000088817841970012523233890533447265625,2025-11-26,Business,4
161,Rosendo Mueller,rosendomueller@university.edu,Biology,B,1.7600000000000000088817841970012523233890533447265625,2023-02-19,Business,4
162,Mr. Eleanora Bernier,mr.eleanorabernier@university.edu,Chemistry,B+,1.3300000000000000710542735760100185871124267578125,2023-01-24,Science,1
163,Jeremiah Becker MD,jeremiahbeckermd@university.edu,Biology,A+,3.45000000000000017763568394002504646778106689453125,2025-09-14,Business,4
164,Clement Sanford I,clementsanfordi@university.edu,History,C-,1.9499999999999999555910790149937383830547332763671875,2025-10-05,Arts,2
165,Margarita Heidenreich MD,margaritaheidenreichmd@university.edu,Physics,A,1.37999999999999989341858963598497211933135986328125,2025-05-20,Engineering,2
166,Zenobia Yundt III,zenobiayundtiii@university.edu,CS,D,1.060000000000000053290705182007513940334320068359375,2023-09-01,Medicine,3
167,Ms. Ellis Emmerich,ms.ellisemmerich@university.edu,English,C+,2,2023-03-12,Science,1
168,Trey Mayert,treymayert@university.edu,Mathematics,F,3.54000000000000003552713678800500929355621337890625,2024-08-29,Arts,4
169,Cyndi Gerhold Jr.,cyndigerholdjr.@university.edu,Chemistry,C-,0.93000000000000004884981308350688777863979339599609375,2024-09-03,Medicine,2
170,Rikki Pfannerstill,rikkipfannerstill@university.edu,History,B+,2.029999999999999804600747665972448885440826416015625,2026-01-30,Arts,2
171,Asley Hilpert,asleyhilpert@university.edu,Economics,F,3.770000000000000017763568394002504646778106689453125,2023-04-18,Medicine,3
172,Mr. Boyce Keebler,mr.boycekeebler@university.edu,Physics,D,1.8300000000000000710542735760100185871124267578125,2025-10-03,Science,3
173,Terrance Parker,terranceparker@university.edu,English,A,2.069999999999999840127884453977458178997039794921875,2022-10-13,Law,2
174,Pierre Schaden IV,pierreschadeniv@university.edu,CS,D,2.660000000000000142108547152020037174224853515625,2024-10-18,Science,3
175,Jay Stroman,jaystroman@university.edu,CS,D,2.04999999999999982236431605997495353221893310546875,2024-07-16,Arts,3
176,Rudolph Lang MD,rudolphlangmd@university.edu,Physics,D,3.060000000000000053290705182007513940334320068359375,2025-12-09,Medicine,3
177,Leana Schmitt,leanaschmitt@university.edu,Mathematics,A,2.45000000000000017763568394002504646778106689453125,2026-01-27,Law,1
178,Bradly Ebert,bradlyebert@university.edu,CS,B+,3.979999999999999982236431605997495353221893310546875,2024-12-27,Engineering,4
179,Jim Mayer,jimmayer@university.edu,Biology,B-,0.89000000000000001332267629550187848508358001708984375,2025-06-27,Science,3
180,Kandace Kihn,kandacekihn@university.edu,Physics,A-,4,2024-12-17,Arts,1
181,Weldon Rempel,weldonrempel@university.edu,History,B,1.62999999999999989341858963598497211933135986328125,2026-04-06,Engineering,4
182,Charlene Kerluke I,charlenekerlukei@university.edu,Biology,A,3.54999999999999982236431605997495353221893310546875,2022-11-18,Law,4
183,Mr. Tobias Harvey,mr.tobiasharvey@university.edu,English,D,3.70000000000000017763568394002504646778106689453125,2025-09-04,Engineering,4
184,Sherman Block,shermanblock@university.edu,Economics,B,3.75,2025-11-25,Arts,2
185,Trey Bayer,treybayer@university.edu,Economics,C+,2.79999999999999982236431605997495353221893310546875,2023-05-23,Science,4
186,Glen Walter,glenwalter@university.edu,Chemistry,A,2.5099999999999997868371792719699442386627197265625,2023-01-06,Science,4
187,Norma Hoeger,normahoeger@university.edu,Biology,B+,0.05000000000000000277555756156289135105907917022705078125,2022-11-26,Science,1
188,Terrance Bahringer Sr.,terrancebahringersr.@university.edu,Mathematics,A+,0.13000000000000000444089209850062616169452667236328125,2025-01-29,Science,1
189,Brittney Hill V,brittneyhillv@university.edu,Economics,B+,1.7399999999999999911182158029987476766109466552734375,2025-04-25,Medicine,2
190,Alexander King,alexanderking@university.edu,Mathematics,A+,2.5,2025-03-07,Business,3
191,Charlena Lynch,charlenalynch@university.edu,Economics,A,0.070000000000000006661338147750939242541790008544921875,2024-04-21,Medicine,2
192,Zenia Hermann,zeniahermann@university.edu,Physics,A-,2.930000000000000159872115546022541821002960205078125,2024-07-22,Medicine,2
193,Miyoko Kautzer,miyokokautzer@university.edu,Biology,B+,2.37999999999999989341858963598497211933135986328125,2026-01-18,Engineering,4
194,Wayne Waelchi,waynewaelchi@university.edu,Chemistry,A,1.8899999999999999023003738329862244427204132080078125,2026-03-02,Medicine,2
195,Jaunita Zieme,jaunitazieme@university.edu,Chemistry,C-,1.899999999999999911182158029987476766109466552734375,2025-05-03,Engineering,3
196,Lucien Little,lucienlittle@university.edu,Economics,A-,0.83999999999999996891375531049561686813831329345703125,2022-12-01,Arts,2
197,Gregg Macejkovic,greggmacejkovic@university.edu,Physics,D,2.5800000000000000710542735760100185871124267578125,2025-11-23,Law,2
198,Mr. Darell Mueller,mr.darellmueller@university.edu,Economics,A,2.020000000000000017763568394002504646778106689453125,2025-04-09,Business,1
199,Ms. David Hyatt,ms.davidhyatt@university.edu,Economics,F,0.05000000000000000277555756156289135105907917022705078125,2026-04-24,Engineering,2
200,Dr. Katelynn Pfannerstill,dr.katelynnpfannerstill@university.edu,CS,F,3.520000000000000017763568394002504646778106689453125,2025-04-20,Medicine,3
201,Tracey Bernhard,traceybernhard@university.edu,CS,B+,3.779999999999999804600747665972448885440826416015625,2024-08-08,Medicine,4
202,Collen Barton,collenbarton@university.edu,CS,C-,2.660000000000000142108547152020037174224853515625,2022-10-18,Medicine,2
203,Georgeann Wilderman Jr.,georgeannwildermanjr.@university.edu,English,A,3.45999999999999996447286321199499070644378662109375,2026-09-10,Arts,4
204,Eloy Herzog,eloyherzog@university.edu,Biology,C-,1.6100000000000000976996261670137755572795867919921875,2025-04-07,Science,3
205,Marylin Heaney,marylinheaney@university.edu,CS,D,0.66000000000000003108624468950438313186168670654296875,2025-07-10,Science,1
206,Mr. Zora Shanahan,mr.zorashanahan@university.edu,Economics,C-,2.70000000000000017763568394002504646778106689453125,2026-02-20,Medicine,2
207,Johnny Mayert,johnnymayert@university.edu,English,C+,2.189999999999999946709294817992486059665679931640625,2026-03-27,Business,2
208,Ms. Peter Feest,ms.peterfeest@university.edu,Chemistry,C-,2.680000000000000159872115546022541821002960205078125,2025-11-11,Medicine,4
209,Myrtice Ferry,myrticeferry@university.edu,Economics,F,1.3200000000000000621724893790087662637233734130859375,2025-10-07,Law,3
210,Sulema Graham,sulemagraham@university.edu,Chemistry,C+,1.4499999999999999555910790149937383830547332763671875,2023-12-27,Law,4
211,Alexandria Gulgowski,alexandriagulgowski@university.edu,Chemistry,D,3.229999999999999982236431605997495353221893310546875,2025-11-13,Business,1
212,Karol Rath,karolrath@university.edu,Physics,B,3.95000000000000017763568394002504646778106689453125,2023-05-08,Business,3
213,Helene DuBuque,helenedubuque@university.edu,Physics,B,3.970000000000000195399252334027551114559173583984375,2026-05-07,Arts,4
214,Dr. Ebony Kihn,dr.ebonykihn@university.edu,English,A+,0.7199999999999999733546474089962430298328399658203125,2023-05-16,Engineering,1
215,Thad Hudson,thadhudson@university.edu,Economics,F,1.9899999999999999911182158029987476766109466552734375,2023-03-15,Medicine,3
216,Kendall Cormier PhD,kendallcormierphd@university.edu,Physics,F,0.40000000000000002220446049250313080847263336181640625,2024-03-14,Medicine,1
217,Lon Daugherty,londaugherty@university.edu,Mathematics,D,0.2399999999999999911182158029987476766109466552734375,2023-10-01,Arts,1
218,Nydia Rosenbaum,nydiarosenbaum@university.edu,Chemistry,C+,3.859999999999999875655021241982467472553253173828125,2022-12-08,Arts,3
219,Mr. Dario Jaskolski,mr.dariojaskolski@university.edu,English,A,1.9899999999999999911182158029987476766109466552734375,2023-04-30,Science,3
